Model,F1-Mean,F1-Std,Accuracy,ROC-AUC
XGBoost,0.8436004331085047,0.0067634355744459074,0.8985986969627714,0.9626610272217186
LightGBM,0.8356853488515806,0.004166309983859136,0.895903664529126,0.9627640496893843
Random Forest,0.8332173812544914,0.00649922150878533,0.8942101726306454,0.9582235761356523
Gradient Boosting,0.7718786189614681,0.005722862250207746,0.8597938700513975,0.9276689686632468
Logistic Regression,0.651321244857496,0.0032251839201610424,0.7740223441330866,0.7729973383812634
KNN,0.5120796120182891,0.008369008093606368,0.6974901756423517,0.7170313037680784
SVM,0.2546766257599188,0.023903166365425246,0.6773946547550127,0.6675215115610029
