Model,F1-Mean,F1-Std,Accuracy,ROC-AUC
LightGBM,0.7624174335817571,0.005802217309325681,0.851247708983807,0.901852005031499
XGBoost,0.7564820806598942,0.007448865875944442,0.8453958985659714,0.8991196494617537
Gradient Boosting,0.7414299908476332,0.0036753041285080465,0.8425473165430711,0.8826857423893134
Random Forest,0.7232249219124158,0.006779648147896603,0.825608692211034,0.8796664893778525
SVM,0.7224866428326029,0.007833474701643481,0.8323844087288494,0.8386117574008243
KNN,0.7197153803455816,0.007473666913342141,0.8229907606425725,0.8460109763353115
Logistic Regression,0.7033343199767011,0.0054800371383246045,0.8189100172728466,0.8101577947639393
