Model,F1-Mean,F1-Std,Accuracy,ROC-AUC
XGBoost,0.6894359565983557,0.0153603618596612,,0.9237519772554587
LightGBM,0.6838832482052964,0.01598125573324078,0.8852014953002858,0.9247729833916916
Random Forest,0.6820613673055258,0.00958970530017662,0.8833537423858819,0.9211748046270205
KNN,0.627091515936333,0.020018863197588305,0.8590995472658539,0.8632474719470234
Gradient Boosting,0.5755615282317466,0.019778497030223254,0.8561743683049935,0.8842550530431501
SVM,0.564638157896946,0.010311138256459977,0.8460112826341047,0.853415126886332
Logistic Regression,0.4449267959447073,0.018837564280796016,0.81644563529364,0.8143239109394399
