Model,F1-Mean,F1-Std,Accuracy,ROC-AUC
XGBoost,0.8472473474329606,0.003470244911045154,0.901524824492523,0.9655971867714699
LightGBM,0.8410329968734171,0.004529490845848593,0.8991373951646107,0.9636894210998508
Random Forest,0.837557373529731,0.005957605957262986,0.8957496110126477,0.9560813723007813
KNN,0.797829296358014,0.007256279290634902,0.8698025464924738,0.9202638597337816
Gradient Boosting,0.771859238232922,0.005320725152330896,0.860255912029721,0.9253878547575534
SVM,0.7506294857589315,0.007180633900209318,0.8556362036731553,0.9081129466228932
Logistic Regression,0.6935525558178358,0.0025060200227403225,0.8127503962498329,0.8546831880137921
