Model,F1-Mean,F1-Std,Accuracy,ROC-AUC
LightGBM,0.5830151258570613,0.01777353389694489,0.8520941881480466,0.8688510292702356
XGBoost,0.5757647825268287,0.013568185842283063,0.8479359289142472,0.8601418714455065
KNN,0.5592966064130582,0.014100521487206528,0.8390049749474062,0.800133843748027
Random Forest,0.5464951818417169,0.00813230816718131,0.8317679278779357,0.8253266038721113
Gradient Boosting,0.5439889916646303,0.0160941085386902,0.8448569632219091,0.848184436742395
Logistic Regression,0.4635503486580844,0.021901541958606427,0.8299200267496427,0.7886941733828452
SVM,0.4517189164780482,0.02826523742981496,0.837619441867993,0.7788536283519816
